NOC,Year,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Medals,Lag_1_Gold,Lag_1_Total,Lag_2_Gold,Lag_2_Total,Lag_3_Gold,Lag_3_Total,Avg_3yr_Gold,Avg_3yr_Total,Is_Host,Athlete_Count,Female_Athletes,Female_Ratio,Sport_Count,Event_Count,Total_Gold_in_Olympics,Avg_Sport_Efficiency
AFG,1896,0,0,0,0,,,,,,,,,0,0,0,0.0,0,0,43.0,0.0
AFG,1900,0,0,0,0,0.0,0.0,,,,,0.0,0.0,0,0,0,0.0,0,0,96.0,0.0
AFG,1904,0,0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0.0,0,0,97.0,0.0
AFG,1906,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0
AFG,1908,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,110.0,0.0
AFG,1912,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,102.0,0.0
AFG,1920,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,155.0,0.0
AFG,1924,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,126.0,0.0
AFG,1928,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,110.0,0.0
AFG,1932,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,125.0,0.0
AFG,1936,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0.0,2,4,141.0,0.0
AFG,1948,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0,2,2,138.0,0.0
AFG,1952,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,149.0,0.0
AFG,1956,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,1,1,153.0,0.0
AFG,1960,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0.0,2,13,152.0,0.0
AFG,1964,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,0.0,1,8,163.0,0.0
AFG,1968,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0.0,1,5,174.0,0.0
AFG,1972,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,0.0,1,8,195.0,0.0
AFG,1976,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,198.0,0.0
AFG,1980,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0.0,2,11,204.0,0.0
AFG,1984,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,226.0,0.0
AFG,1988,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0.0,1,5,241.0,0.0
AFG,1992,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,260.0,0.0
AFG,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0,1,2,271.0,0.0
AFG,2000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,300.0,0.0
AFG,2004,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,2,0.4,4,5,301.0,0.0
AFG,2008,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,0.25,2,4,302.0,0.5
AFG,2012,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0,6,1,0.16666666666666666,4,6,303.0,0.5
AFG,2016,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0,3,1,0.3333333333333333,2,3,306.0,0.0
AFG,2020,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0,5,1,0.2,4,5,320.0,0.0
AFG,2024,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0,6,3,0.5,4,6,328.0,0.0
AIN,1896,0,0,0,0,,,,,,,0.0,0.0,0,0,0,0.0,0,0,43.0,0.0
AIN,1900,0,0,0,0,0.0,0.0,,,,,0.0,0.0,0,0,0,0.0,0,0,96.0,0.0
AIN,1904,0,0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0.0,0,0,97.0,0.0
AIN,1906,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0
AIN,1908,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,110.0,0.0
AIN,1912,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,102.0,0.0
AIN,1920,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,155.0,0.0
AIN,1924,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,126.0,0.0
AIN,1928,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,110.0,0.0
AIN,1932,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,125.0,0.0
AIN,1936,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,141.0,0.0
AIN,1948,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,138.0,0.0
AIN,1952,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,149.0,0.0
AIN,1956,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,153.0,0.0
AIN,1960,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,152.0,0.0
AIN,1964,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,163.0,0.0
AIN,1968,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,174.0,0.0
AIN,1972,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,195.0,0.0
AIN,1976,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,198.0,0.0
AIN,1980,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,204.0,0.0
AIN,1984,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,226.0,0.0
AIN,1988,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,241.0,0.0
